date,darshans,weekend,summer,temp_max,temp_min,humidity,rainfall,google_trend_score,is_public_holiday,is_festival,is_brahmostavam,rolling_avg_7,lag_1,month_sin,month_cos
2022-03-02,46172,0,0,33.5,18.1,49,0.0,6,0,0,0,55715.57142857143,53163.0,1.0,6.123233995736766e-17
2022-03-03,50511,0,0,31.8,18.7,59,0.0,5,0,0,0,56995.0,46172.0,1.0,6.123233995736766e-17
2022-03-04,56686,0,0,32.8,19.5,66,0.0,5,0,0,0,56533.71428571428,50511.0,1.0,6.123233995736766e-17
2022-03-05,67750,1,0,32.7,20.5,67,0.0,5,0,0,0,56551.857142857145,56686.0,1.0,6.123233995736766e-17
2022-03-06,61052,1,0,31.7,20.6,65,0.1,6,0,0,0,56844.142857142855,67750.0,1.0,6.123233995736766e-17
2022-03-07,57904,0,0,32.6,22.7,54,0.0,6,0,0,0,55838.0,61052.0,1.0,6.123233995736766e-17
2022-03-08,58561,0,0,34.9,20.7,64,0.0,5,0,0,0,56176.857142857145,57904.0,1.0,6.123233995736766e-17
2022-03-09,59086,0,0,35.3,20.4,55,0.0,5,0,0,0,56948.0,58561.0,1.0,6.123233995736766e-17
2022-03-10,61620,0,0,34.8,19.8,54,0.0,5,0,0,0,58792.857142857145,59086.0,1.0,6.123233995736766e-17
2022-03-11,65192,0,0,34.8,19.3,53,0.0,5,0,0,0,60379.857142857145,61620.0,1.0,6.123233995736766e-17
2022-03-12,75775,1,0,34.9,19.1,44,0.0,6,0,0,0,61595.0,65192.0,1.0,6.123233995736766e-17
2022-03-13,74167,1,0,35.4,20.5,42,0.0,6,0,0,0,62741.42857142857,75775.0,1.0,6.123233995736766e-17
2022-03-14,65155,0,0,36.1,21.0,46,0.0,5,0,0,0,64615.0,74167.0,1.0,6.123233995736766e-17
2022-03-15,61982,0,0,36.7,21.2,47,0.0,5,0,0,0,65650.85714285714,65155.0,1.0,6.123233995736766e-17
2022-03-16,64368,0,0,37.5,20.5,40,0.0,5,0,0,0,66139.57142857143,61982.0,1.0,6.123233995736766e-17
2022-03-17,66577,0,0,38.6,21.1,44,0.0,6,0,0,0,66894.14285714286,64368.0,1.0,6.123233995736766e-17
2022-03-18,66763,0,0,38.7,21.6,46,0.0,7,1,0,0,67602.28571428571,66577.0,1.0,6.123233995736766e-17
2022-03-19,80429,1,0,37.2,23.4,61,0.0,9,0,0,0,67826.71428571429,66763.0,1.0,6.123233995736766e-17
2022-03-20,72265,1,0,37.1,25.5,58,4.6,13,0,0,0,68491.57142857143,80429.0,1.0,6.123233995736766e-17
2022-03-21,70408,0,0,38.7,24.8,56,0.1,16,0,0,0,68219.85714285714,72265.0,1.0,6.123233995736766e-17
2022-03-22,69711,0,0,36.8,25.1,57,0.0,11,0,0,0,68970.28571428571,70408.0,1.0,6.123233995736766e-17
2022-03-23,64986,0,0,37.8,25.4,64,0.0,9,0,0,0,70074.42857142857,69711.0,1.0,6.123233995736766e-17
2022-03-24,63042,0,0,36.8,25.2,62,0.2,8,0,0,0,70162.71428571429,64986.0,1.0,6.123233995736766e-17
2022-03-25,65418,0,0,37.2,25.1,63,0.0,7,0,0,0,69657.71428571429,63042.0,1.0,6.123233995736766e-17
2022-03-26,69897,1,0,36.8,25.5,62,0.0,7,0,0,0,69465.57142857143,65418.0,1.0,6.123233995736766e-17
2022-03-27,71167,1,0,37.9,25.1,58,0.0,5,0,0,0,67961.0,69897.0,1.0,6.123233995736766e-17
2022-03-28,62956,0,0,38.5,25.1,55,0.0,5,0,0,0,67804.14285714286,71167.0,1.0,6.123233995736766e-17
2022-03-29,54396,0,0,38.7,25.4,56,0.0,5,0,0,0,66739.57142857143,62956.0,1.0,6.123233995736766e-17
2022-03-30,61224,0,0,38.8,25.7,57,0.0,6,0,0,0,64551.71428571428,54396.0,1.0,6.123233995736766e-17
2022-03-31,54273,0,0,38.9,25.3,55,0.0,5,0,0,0,64014.28571428572,61224.0,1.0,6.123233995736766e-17
2022-04-01,56958,0,0,37.7,25.3,58,0.0,5,0,0,0,62761.57142857143,54273.0,0.8660254037844387,-0.49999999999999983
2022-04-02,62925,1,0,37.5,25.3,58,0.3,6,0,1,0,61553.0,56958.0,0.8660254037844387,-0.49999999999999983
2022-04-03,71034,1,0,36.9,24.5,60,0.0,6,0,0,0,60557.0,62925.0,0.8660254037844387,-0.49999999999999983
2022-04-04,66112,0,0,36.8,25.0,62,0.0,6,0,0,0,60538.0,71034.0,0.8660254037844387,-0.49999999999999983
2022-04-05,66381,0,0,36.5,25.0,62,0.0,5,0,0,0,60988.857142857145,66112.0,0.8660254037844387,-0.49999999999999983
